,player,team,atm_away,atm_home,score_away,score_home,atm_total,score_total
7,A. Johnson,ATL,30,34,24,28,64,52
10,A. Johnson,TOR,63,57,44,38,120,82
15,Abdur-Rahim,SAC,114,124,84,90,238,174
22,Afflalo,DEN,236,284,189,227,520,416
23,Afflalo,DET,75,88,62,67,163,129
33,Aldridge,POR,899,940,678,748,1839,1426
35,Alexander,MIL,36,47,24,34,83,58
36,Allen,BOS,246,237,211,205,483,416
40,Allen,MEM,212,186,158,146,398,304
45,Allen,SEA,151,156,137,140,307,277
49,Alston,HOU,204,233,155,169,437,324
51,Alston,NJN,32,22,24,20,54,44
52,Alston,ORL,88,55,63,40,143,103
53,Aminu,LAC,70,49,55,37,119,92
54,Aminu,NOH,68,46,48,38,114,86
55,Amundson,GSW,54,33,21,13,87,34
56,Amundson,IND,44,38,22,13,82,35
58,Amundson,PHX,142,122,72,57,264,129
59,Andersen,DEN,290,409,198,277,699,475
60,Andersen,HOU,31,36,21,25,67,46
63,Anderson,CHA,73,73,60,64,146,124
64,Anderson,NJN,68,48,55,43,116,98
65,Anderson,ORL,150,227,130,193,377,323
66,Anderson,SAS,26,35,18,28,61,46
68,Anthony,DEN,1420,1487,1147,1206,2907,2353
69,Anthony,MIA,165,203,108,140,368,248
70,Anthony,NYK,253,336,208,280,589,488
73,Arenas,ORL,53,39,41,27,92,68
74,Arenas,WAS,599,517,478,433,1116,911
75,Ariza,HOU,107,121,74,74,228,148
76,Ariza,LAL,114,172,77,114,286,191
77,Ariza,NOH,158,163,117,116,321,233
78,Ariza,ORL,75,115,41,74,190,115
81,Armstrong,IND,30,63,24,49,93,73
83,Armstrong,NOH,103,113,56,71,216,127
84,Armstrong,NOK,36,31,23,17,67,40
88,Arroyo,MIA,50,77,42,64,127,106
89,Arroyo,ORL,129,143,111,112,272,223
90,Artest,HOU,104,168,76,125,272,201
91,Artest,LAL,179,202,119,139,381,258
92,Artest,SAC,342,366,255,264,708,519
93,Arthur,MEM,114,125,77,100,239,177
94,Asik,CHI,121,133,60,61,254,121
97,Atkins,MEM,139,172,113,139,311,252
99,Augustin,CHA,385,402,336,353,787,689
101,Ayon,NOH,44,19,27,12,63,39
102,Azubuike,GSW,203,259,157,198,462,355
104,B. Davis,LAC,252,247,204,192,499,396
105,B. Jackson,NOK,42,34,29,31,76,60
113,Balkman,DEN,44,31,26,21,75,47
114,Balkman,NYK,74,120,44,56,194,100
116,Banks,PHX,26,52,20,42,78,62
119,Barbosa,PHX,355,431,294,367,786,661
120,Barbosa,TOR,95,133,78,107,228,185
121,Barea,DAL,226,225,176,184,451,360
122,Barea,MIN,48,50,35,41,98,76
123,Bargnani,TOR,616,739,509,607,1355,1116
124,Barnes,GSW,115,105,88,74,220,162
125,Barnes,LAL,94,112,75,80,206,155
126,Barnes,ORL,87,79,64,61,166,125
127,Barnes,PHX,66,70,53,48,136,101
129,Barron,MIA,55,50,39,39,105,78
135,Barry,SAS,76,78,67,69,154,136
136,Bass,BOS,74,89,60,72,163,132
137,Bass,DAL,233,228,198,197,461,395
139,Bass,ORL,127,188,101,158,315,259
140,Baston,IND,36,38,26,28,74,54
144,Battie,ORL,91,77,58,52,168,110
146,Battier,HOU,257,248,196,185,505,381
149,Batum,POR,172,262,138,225,434,363
151,Bayless,POR,194,172,158,142,366,300
152,Bayless,TOR,148,129,125,103,277,228
153,Beasley,MIA,263,244,208,190,507,398
154,Beasley,MIN,197,189,144,136,386,280
155,Beaubois,DAL,64,86,53,67,150,120
156,Belinelli,GSW,27,32,20,25,59,45
157,Belinelli,NOH,109,149,83,120,258,203
158,Belinelli,TOR,50,71,43,58,121,101
159,Bell,CHA,44,40,36,38,84,74
161,Bell,MIL,178,221,142,170,399,312
162,Bell,PHX,151,140,117,118,291,235
163,Bell,UTA,57,70,50,62,127,112
165,Bibby,ATL,260,167,205,129,427,334
168,Bibby,SAC,187,191,146,165,378,311
169,Biedrins,GSW,284,371,141,207,655,348
170,Billups,DEN,671,734,613,669,1405,1282
171,Billups,DET,523,569,460,509,1092,969
172,Billups,LAC,48,47,42,43,95,85
173,Billups,NYK,74,60,64,57,134,121
174,Biyombo,CHA,62,81,28,41,143,69
175,Blair,SAS,205,224,129,128,429,257
178,Blake,LAL,24,31,22,24,55,46
180,Blake,POR,81,97,71,70,178,141
182,Blatche,WAS,449,493,320,361,942,681
183,Bledsoe,LAC,114,63,83,44,177,127
184,Blount,MIA,69,82,40,56,151,96
185,Blount,MIN,84,111,59,88,195,147
189,Bogans,ORL,103,105,81,76,208,157
191,Bogut,MIL,477,605,249,361,1082,610
192,Bonner,SAS,110,121,85,92,231,177
193,Booker,WAS,107,88,75,49,195,124
194,Boone,NJN,244,243,109,109,487,218
198,Boozer,CHI,215,220,151,159,435,310
199,Boozer,UTA,790,715,567,513,1505,1080
200,Bosh,MIA,403,487,325,402,890,727
201,Bosh,TOR,1212,1219,990,982,2431,1972
204,Bowen,SAS,87,100,48,67,187,115
205,Boykins,CHA,39,20,32,17,59,49
206,Boykins,DEN,43,88,39,80,131,119
208,Boykins,MIL,92,104,80,90,196,170
209,Boykins,WAS,36,53,31,46,89,77
212,Bradley,BOS,46,44,33,35,90,68
213,Brand,LAC,232,276,183,205,508,388
214,Brand,PHI,378,355,280,264,733,544
215,Brewer,CHI,123,125,68,88,248,156
217,Brewer,DEN,70,60,46,44,130,90
219,Brewer,MIN,276,279,207,182,555,389
220,Brewer,UTA,405,464,283,330,869,613
221,Brezec,CHA,42,31,29,17,73,46
226,Brockman,MIL,29,45,15,32,74,47
227,Brockman,SAC,26,36,11,26,62,37
228,Brooks,HOU,317,334,277,277,651,554
229,Brooks,NJN,57,91,40,73,148,113
230,Brooks,PHX,30,27,26,20,57,46
232,Brown,CHA,105,108,69,73,213,142
233,Brown,CHI,88,64,66,50,152,116
235,Brown,DET,111,113,49,50,224,99
238,Brown,LAL,233,263,169,164,496,333
241,Brown,NOH,48,53,33,46,101,79
242,Brown,NOK,80,75,64,59,155,123
244,Brown,PHX,43,56,33,48,99,81
249,Bryant,LAL,2104,2161,1762,1832,4265,3594
253,Budinger,HOU,141,152,116,122,293,238
255,Burks,UTA,79,56,56,44,135,100
256,Butler,CHI,24,32,20,23,56,43
257,Butler,DAL,78,141,60,112,219,172
258,Butler,LAC,94,185,77,150,279,227
259,Butler,NOH,60,90,50,71,150,121
260,Butler,NOK,45,40,25,29,85,54
263,Butler,WAS,571,660,500,573,1231,1073
264,Bynum,DET,230,263,183,215,493,398
265,Bynum,LAL,679,786,457,561,1465,1018
272,C. Smith,POR,35,16,27,9,51,36
274,Calderon,TOR,339,364,299,319,703,618
275,Camby,DEN,232,203,175,135,435,310
277,Camby,LAC,129,144,87,105,273,192
278,Camby,POR,81,66,49,33,147,82
282,Cardinal,MIN,35,18,29,18,53,47
284,Carney,MIN,21,45,17,33,66,50
285,Carney,PHI,127,104,85,75,231,160
286,Carroll,CHA,231,222,193,189,453,382
288,Carroll,MEM,19,36,13,22,55,35
290,Carter,DAL,48,67,42,53,115,95
291,Carter,DEN,80,103,59,77,183,136
292,Carter,NJN,700,802,576,631,1502,1207
294,Carter,ORL,225,225,184,186,450,370
295,Carter,PHX,33,65,23,49,98,72
298,Cassell,LAC,140,161,120,146,301,266
299,Casspi,CLE,49,59,37,37,108,74
300,Casspi,SAC,123,152,92,93,275,185
303,Chalmers,MIA,240,278,186,217,518,403
304,Chandler,CHA,85,73,57,58,158,115
305,Chandler,DAL,173,200,121,148,373,269
306,Chandler,DEN,37,22,30,18,59,48
307,Chandler,NOH,223,227,132,133,450,265
308,Chandler,NOK,78,123,36,70,201,106
309,Chandler,NYK,366,492,279,365,858,644
